Patente;Nro;FECHA;Kms.;MOTIVO;DESCRIPCIÓN;LUGAR;FACTURA Nro.;FECHA DE PAGO;MONTO;OBSERVACIONES;
AF571RW;82;18/3/2025;160.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 160.000 KM ;RENAULT - LOMAS;0045-00002550;19/3/2025;$ 445.467,14;;
AF333BW;83;17/3/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002549;12/5/2025;$ 276.903,45;;
AF333BV;84;11/3/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002536;12/5/2025;$ 445.467,14;;
AG315HG;85;11/3/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002535;12/5/2025;$ 669.439,88;;
AG196ZS;86;10/3/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002534;12/5/2025;$ 669.439,94;;
AG196ZQ;87;7/3/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002532;12/5/2025;$ 539.894,87;;
AG012UT;88;7/3/2025;40.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 40.000 KM ;RENAULT - LOMAS;0045-00002533;12/5/2025;$ 445.467,14;;
AF421HL;89;5/3/2025;70.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 70.000 KM ;RENAULT - LOMAS;0045-00002542;12/5/2025;$ 180.583,53;;
AG059DJ;90;27/2/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002544;12/5/2025;$ 432.994,57;;
AF333BT;91;27/2/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002543;12/5/2025;$ 287.188,70;;
AF481OU;92;26/2/2025;50.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 50.000 KM ;RENAULT - LOMAS;0045-00002509;15/4/2025;$ 176.400,01;;
AG059DH;93;20/2/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002502;15/4/2025;$ 428.392,01;;
AF857HF;94;17/2/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002494;15/4/2025;$ 494.290,00;;
AG196ZP;95;17/2/2025;80.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 80.000 KM ;RENAULT - LOMAS;0045-00002495;15/4/2025;$ 520.967,99;;
AG059DG;96;12/2/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002492;;$ 428.392,01;;
AF757AU;97;12/2/2025;140.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 140.000 KM ;RENAULT - LOMAS;0045-00002497;15/4/2025;$ 428.392,91;;
AG366YT;98;10/2/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002465;12/3/2025;$ 395.431,99;;
AF757AS;99;4/2/2025;100.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 100.000 KM ;RENAULT - LOMAS;0045-00002474;15/4/2025;$ 395.431,99;;
AG315HB;100;3/2/2025;60.000;SERVICIO;SE LE REALIZO EL SERVICIO DE MANTENIMIENTO DE 60.000 KM ;RENAULT - LOMAS;0045-00002466;12/3/2025;$ 620.888,00;;
